Path,Name,Clock,Cores,Model,Threads Per Core,Socket,Architecture
Parkes --> blc11,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,1,x86_64
Parkes --> blc12,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,0,x86_64
Parkes --> blc12,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,1,x86_64
Parkes --> blc13,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,0,x86_64
Parkes --> blc13,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,1,x86_64
Parkes --> blc14,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,0,x86_64
Parkes --> blc14,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,1,x86_64
Parkes --> blc15,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,0,x86_64
Parkes --> blc15,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,1,x86_64
Parkes --> blc16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,0,x86_64
Parkes --> blc16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,1,x86_64
Parkes --> blc17,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,0,x86_64
Parkes --> blc17,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,1,x86_64
Parkes --> blc20,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,0,x86_64
Parkes --> blc20,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,1,x86_64
Parkes --> blc21,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,0,x86_64
Parkes --> blc21,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,1,x86_64
Parkes --> blc22,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,0,x86_64
Parkes --> blc22,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,1,x86_64
Parkes --> blc23,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,0,x86_64
Parkes --> blc23,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,1,x86_64
Parkes --> blc24,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,0,x86_64
Parkes --> blc24,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,1,x86_64
Parkes --> blc25,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,0,x86_64
Parkes --> blc25,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,1,x86_64
Parkes --> blc26,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,0,x86_64
Parkes --> blc26,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,1,x86_64
Parkes --> blc27,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,0,x86_64
Parkes --> blc27,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,1,x86_64
Parkes --> blc30,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,12,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,0,x86_64
Parkes --> blc30,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,12,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,1,x86_64
Parkes --> blc31,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,12,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,0,x86_64
Parkes --> blc31,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,12,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,1,x86_64
Parkes --> blc32,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,0,x86_64
Parkes --> blc32,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,1,x86_64
Parkes --> blh0,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,12,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,0,x86_64
Parkes --> blh0,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,12,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,1,x86_64
Parkes --> bls0,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,0,x86_64
Parkes --> bls0,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,1,x86_64
Parkes --> bls1,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,0,x86_64
Parkes --> bls1,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,1,x86_64
Parkes --> bls2,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,0,x86_64
Parkes --> bls2,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,1,x86_64
Parkes --> bls3,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,0,x86_64
Parkes --> bls3,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,1,x86_64
GBT --> blc00,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,0,x86_64
GBT --> blc00,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,1,x86_64
GBT --> blc01,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,0,x86_64
GBT --> blc01,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,1,x86_64
GBT --> blc02,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,0,x86_64
GBT --> blc02,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,1,x86_64
GBT --> blc03,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,0,x86_64
GBT --> blc03,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,1,x86_64
GBT --> blc04,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,0,x86_64
GBT --> blc04,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,1,x86_64
GBT --> blc05,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,0,x86_64
GBT --> blc05,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,1,x86_64
GBT --> blc06,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,0,x86_64
GBT --> blc06,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,1,x86_64
GBT --> blc07,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,0,x86_64
GBT --> blc07,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,1,x86_64
GBT --> blc10,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,0,x86_64
GBT --> blc10,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,1,x86_64
GBT --> blc11,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,0,x86_64
GBT --> blc11,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,1,x86_64
GBT --> blc12,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,0,x86_64
GBT --> blc12,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,1,x86_64
GBT --> blc13,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,0,x86_64
GBT --> blc13,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,1,x86_64
GBT --> blc14,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,0,x86_64
GBT --> blc14,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,1,x86_64
GBT --> blc15,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,0,x86_64
GBT --> blc15,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,1,x86_64
GBT --> blc16,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,0,x86_64
GBT --> blc16,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,1,x86_64
GBT --> blc17,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,0,x86_64
GBT --> blc17,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,1,x86_64
GBT --> blc20,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,0,x86_64
GBT --> blc20,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,1,x86_64
GBT --> blc21,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,0,x86_64
GBT --> blc21,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,1,x86_64
GBT --> blc22,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,0,x86_64
GBT --> blc22,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,1,x86_64
GBT --> blc23,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,0,x86_64
GBT --> blc23,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,1,x86_64
GBT --> blc24,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,0,x86_64
GBT --> blc24,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,1,x86_64
GBT --> blc25,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,0,x86_64
GBT --> blc25,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,1,x86_64
GBT --> blc26,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,0,x86_64
GBT --> blc26,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,1,x86_64
GBT --> blc27,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,0,x86_64
GBT --> blc27,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,1,x86_64
GBT --> blc30,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,0,x86_64
GBT --> blc30,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,1,x86_64
GBT --> blc31,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,0,x86_64
GBT --> blc31,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,1,x86_64
GBT --> blc32,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,0,x86_64
GBT --> blc32,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,1,x86_64
GBT --> blc33,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,0,x86_64
GBT --> blc33,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,1,x86_64
GBT --> blc34,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,0,x86_64
GBT --> blc34,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,1,x86_64
GBT --> blc35,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,0,x86_64
GBT --> blc35,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,1,x86_64
GBT --> blc36,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,0,x86_64
GBT --> blc36,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,1,x86_64
GBT --> blc37,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,0,x86_64
GBT --> blc37,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,1,x86_64
GBT --> blh0,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,0,x86_64
GBT --> blh0,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,6,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,1,1,x86_64
GBT --> bls0,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,12,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,0,x86_64
GBT --> bls0,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,3200,12,Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz,2,1,x86_64
GBT --> bls1,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,0,x86_64
GBT --> bls1,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,1,x86_64
GBT --> bls2,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,0,x86_64
GBT --> bls2,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,1,x86_64
GBT --> bls3,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,0,x86_64
GBT --> bls3,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,1,x86_64
GBT --> bls4,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,3000,16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,0,x86_64
